OrderID,Expiry_Days_Left,Order_Date,Expiry_Date,Pallet_Size,Route_Type,Mode_of_Transport,Urgent_Order_Flag,Fragility,Dispatch_Window,Temp_Sensitive
D0689266-88BE-4949-B7A4,238,2025-06-15,2026-02-08,80,Interstate,Big Truck,Yes,No,26/06/2025,Yes
85E9D4B1-BB58-4F2D-86BA,143,2025-06-18,2025-11-08,120,Interstate,Big Truck,Yes,Yes,23/06/2025,No
DA6CC913-1DC3-4E6A-B78E,127,2025-06-20,2025-10-25,150,Interstate,Big Truck,No,Yes,23/06/2025,Yes
B6521275-0E3B-4D7E-8A14,534,2025-06-16,2026-12-02,80,Interstate,Big Truck,No,No,29/06/2025,No
8FDBC5E6-C82B-48D2-9B97,341,2025-06-17,2026-05-24,80,Local,Small Truck,No,Yes,23/06/2025,Yes
AD645151-1DBD-4D4A-B9C4,345,2025-06-19,2026-05-30,100,Interstate,Big Truck,No,No,28/06/2025,Yes
013ADF8D-EC70-43A9-A12D,424,2025-06-15,2026-08-13,60,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
F5FA1084-2436-4DC9-8E2E,593,2025-06-21,2027-02-04,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
E8F35C1F-158A-47F5-B978,707,2025-06-15,2027-05-23,120,Interstate,Big Truck,Yes,Yes,23/06/2025,No
F847A491-76E0-4B54-979A,666,2025-06-19,2027-04-16,80,Interstate,Big Truck,Yes,No,27/06/2025,No
DA86318F-AD5B-40B8-AE64,159,2025-06-17,2025-11-23,120,Local,Small Truck,Yes,No,23/06/2025,Yes
95D4A966-7DEA-4C3F-9CEB,198,2025-06-17,2026-01-01,100,Interstate,Big Truck,Yes,No,25/06/2025,No
1B3935E9-3B9F-4E42-B122,468,2025-06-20,2026-10-01,60,Local,Small Truck,Yes,Yes,25/06/2025,No
66B0884A-870A-4748-ABAF,143,2025-06-20,2025-11-10,100,Local,Small Truck,Yes,Yes,24/06/2025,No
62B35B29-D815-4912-843F,548,2025-06-20,2026-12-20,100,Intercity,Medium Truck,Yes,Yes,28/06/2025,No
999E1BB9-E902-42E7-AAFB,598,2025-06-17,2027-02-05,120,Interstate,Big Truck,Yes,No,25/06/2025,No
7F64ECD8-3D93-4E2E-A5FD,436,2025-06-16,2026-08-26,80,Local,Small Truck,Yes,Yes,25/06/2025,No
5A71AD44-E964-4660-B8D8,285,2025-06-15,2026-03-27,120,Local,Small Truck,Yes,No,25/06/2025,No
81A2B46B-CEA5-4983-888E,355,2025-06-21,2026-06-11,80,Local,Small Truck,Yes,Yes,25/06/2025,No
7B572E66-9298-4D6A-81D5,148,2025-06-21,2025-11-16,80,Intercity,Medium Truck,Yes,No,28/06/2025,Yes
EA36F243-25B9-4903-8940,325,2025-06-19,2026-05-10,120,Local,Small Truck,Yes,No,23/06/2025,Yes
EE434BFF-11FF-4BE2-98B9,499,2025-06-17,2026-10-29,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,No
ACBEAE1D-E2D0-4C1D-944C,235,2025-06-17,2026-02-07,80,Interstate,Big Truck,Yes,Yes,28/06/2025,No
1C0EA341-43CD-48F5-B6EF,571,2025-06-16,2027-01-08,100,Local,Small Truck,No,Yes,26/06/2025,No
AC0E4C93-4464-497E-BEDB,186,2025-06-15,2025-12-18,100,Local,Small Truck,Yes,No,25/06/2025,Yes
