OrderID,Order_Date,Expiry_Date,Pallet_Size,Route_Type,Mode_of_Transport,Urgent_Order_Flag,Fragility,Dispatch_Window,Temp_Sensitive
D0689266-88BE-4949-B7A4,15/06/2025,08/02/2026,80,Interstate,Big Truck,Yes,No,26/06/2025,Yes
85E9D4B1-BB58-4F2D-86BA,18/06/2025,08/11/2025,120,Interstate,Big Truck,Yes,Yes,23/06/2025,No
DA6CC913-1DC3-4E6A-B78E,20/06/2025,25/10/2025,150,Interstate,Big Truck,No,Yes,23/06/2025,Yes
B6521275-0E3B-4D7E-8A14,16/06/2025,02/12/2026,80,Interstate,Big Truck,No,No,29/06/2025,No
8FDBC5E6-C82B-48D2-9B97,17/06/2025,24/05/2026,80,Local,Small Truck,No,Yes,23/06/2025,Yes
AD645151-1DBD-4D4A-B9C4,19/06/2025,30/05/2026,100,Interstate,Big Truck,No,No,28/06/2025,Yes
013ADF8D-EC70-43A9-A12D,15/06/2025,13/08/2026,60,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
F5FA1084-2436-4DC9-8E2E,21/06/2025,04/02/2027,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
E8F35C1F-158A-47F5-B978,15/06/2025,23/05/2027,120,Interstate,Big Truck,Yes,Yes,23/06/2025,No
F847A491-76E0-4B54-979A,19/06/2025,16/04/2027,80,Interstate,Big Truck,Yes,No,27/06/2025,No
DA86318F-AD5B-40B8-AE64,17/06/2025,23/11/2025,120,Local,Small Truck,Yes,No,23/06/2025,Yes
95D4A966-7DEA-4C3F-9CEB,17/06/2025,01/01/2026,100,Interstate,Big Truck,Yes,No,25/06/2025,No
1B3935E9-3B9F-4E42-B122,20/06/2025,01/10/2026,60,Local,Small Truck,Yes,Yes,25/06/2025,No
66B0884A-870A-4748-ABAF,20/06/2025,10/11/2025,100,Local,Small Truck,Yes,Yes,24/06/2025,No
62B35B29-D815-4912-843F,20/06/2025,20/12/2026,100,Intercity,Medium Truck,Yes,Yes,28/06/2025,No
999E1BB9-E902-42E7-AAFB,17/06/2025,05/02/2027,120,Interstate,Big Truck,Yes,No,25/06/2025,No
7F64ECD8-3D93-4E2E-A5FD,16/06/2025,26/08/2026,80,Local,Small Truck,Yes,Yes,25/06/2025,No
5A71AD44-E964-4660-B8D8,15/06/2025,27/03/2026,120,Local,Small Truck,Yes,No,25/06/2025,No
81A2B46B-CEA5-4983-888E,21/06/2025,11/06/2026,80,Local,Small Truck,Yes,Yes,25/06/2025,No
7B572E66-9298-4D6A-81D5,21/06/2025,16/11/2025,80,Intercity,Medium Truck,Yes,No,28/06/2025,Yes
EA36F243-25B9-4903-8940,19/06/2025,10/05/2026,120,Local,Small Truck,Yes,No,23/06/2025,Yes
EE434BFF-11FF-4BE2-98B9,17/06/2025,29/10/2026,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,No
ACBEAE1D-E2D0-4C1D-944C,17/06/2025,07/02/2026,80,Interstate,Big Truck,Yes,Yes,28/06/2025,No
1C0EA341-43CD-48F5-B6EF,16/06/2025,08/01/2027,100,Local,Small Truck,No,Yes,26/06/2025,No
AC0E4C93-4464-497E-BEDB,15/06/2025,18/12/2025,100,Local,Small Truck,Yes,No,25/06/2025,Yes
6E5DBACB-79D3-4677-B8F6,21/06/2025,05/09/2026,150,Intercity,Medium Truck,Yes,No,29/06/2025,Yes
32EF6F6A-1A29-4659-AB07,21/06/2025,20/01/2026,120,Local,Small Truck,No,No,26/06/2025,Yes
1477CBB8-C5AF-4415-B0B0,19/06/2025,30/03/2027,60,Intercity,Medium Truck,No,Yes,25/06/2025,No
6A104867-28B9-4172-A98E,20/06/2025,30/12/2025,100,Interstate,Big Truck,Yes,No,27/06/2025,No
2A4E91FB-1CF8-4F4B-80A7,15/06/2025,20/03/2027,60,Intercity,Medium Truck,Yes,No,29/06/2025,No
C278F06B-7BF6-4205-8959,18/06/2025,12/11/2026,120,Intercity,Medium Truck,No,Yes,26/06/2025,No
F7FE9C0F-8B82-4F4B-BD89,19/06/2025,25/04/2027,60,Interstate,Big Truck,Yes,No,27/06/2025,Yes
8433D943-9D34-4CF0-9B1C,18/06/2025,02/11/2025,60,Local,Small Truck,Yes,No,25/06/2025,Yes
C44D5F67-B873-4810-B170,20/06/2025,26/04/2027,60,Local,Small Truck,Yes,No,26/06/2025,No
A87BD608-2A40-420E-A99E,16/06/2025,15/02/2027,80,Intercity,Medium Truck,Yes,No,23/06/2025,No
61651AB8-2125-4250-A757,19/06/2025,08/02/2027,150,Interstate,Big Truck,Yes,Yes,25/06/2025,No
BE8B2426-3E47-4E48-9CE9,21/06/2025,29/10/2026,150,Local,Small Truck,Yes,Yes,26/06/2025,No
7D4F65CA-C2D8-471D-ACB1,18/06/2025,29/08/2026,100,Local,Small Truck,Yes,No,26/06/2025,Yes
D651A1E8-7FAC-4A99-996C,20/06/2025,29/12/2025,150,Intercity,Medium Truck,No,No,27/06/2025,No
CAEC4760-1988-4588-A535,20/06/2025,17/01/2026,150,Intercity,Medium Truck,No,No,27/06/2025,No
F3019A6F-E88E-43B1-83FC,18/06/2025,29/03/2026,60,Local,Small Truck,Yes,No,23/06/2025,Yes
D36B0DC1-F179-493D-B71B,20/06/2025,06/06/2026,120,Intercity,Medium Truck,No,No,29/06/2025,No
6E312A75-4FC4-41C6-8F7F,16/06/2025,31/05/2026,100,Intercity,Medium Truck,No,Yes,24/06/2025,Yes
9602D097-3D06-477A-9306,19/06/2025,22/08/2025,120,Interstate,Big Truck,Yes,No,23/06/2025,No
1F325DC1-6BA9-4C4C-8B71,20/06/2025,02/12/2026,150,Intercity,Medium Truck,Yes,No,26/06/2025,No
53F1C9D4-EAC3-475E-8F17,21/06/2025,27/08/2026,150,Interstate,Big Truck,No,Yes,28/06/2025,No
F93D6F10-8468-43D6-89FD,20/06/2025,21/12/2025,60,Local,Small Truck,Yes,Yes,23/06/2025,Yes
5F12BF9A-06B5-4069-8F46,17/06/2025,12/12/2026,100,Local,Small Truck,No,Yes,29/06/2025,Yes
1DF118E6-C0CD-4A7A-95E5,19/06/2025,25/10/2026,120,Intercity,Medium Truck,Yes,No,26/06/2025,Yes
57F1C65D-74E6-483A-B323,15/06/2025,14/05/2027,80,Intercity,Medium Truck,Yes,No,27/06/2025,Yes
607F8480-E45F-4A59-8A18,19/06/2025,18/10/2026,120,Local,Small Truck,No,Yes,23/06/2025,Yes
8B709F8B-25E5-40DB-996E,18/06/2025,30/11/2026,120,Intercity,Medium Truck,Yes,No,26/06/2025,No
564DE09E-611F-49AE-B0B4,15/06/2025,21/07/2026,100,Intercity,Medium Truck,Yes,Yes,27/06/2025,No
B22C94BA-778C-415A-BDEE,16/06/2025,16/11/2026,100,Intercity,Medium Truck,No,Yes,24/06/2025,Yes
3080E51D-CEA1-45E4-834E,16/06/2025,31/08/2025,100,Intercity,Medium Truck,Yes,Yes,26/06/2025,No
8C0E50AB-9D79-4E57-A896,15/06/2025,21/09/2026,120,Interstate,Big Truck,Yes,No,24/06/2025,Yes
44AE9287-7857-4DAC-8C60,17/06/2025,05/01/2027,120,Local,Small Truck,No,No,29/06/2025,Yes
308AF56A-DA34-443B-9EFF,17/06/2025,06/07/2026,60,Interstate,Big Truck,No,No,29/06/2025,No
2F040F7E-6FA7-42F9-81D0,20/06/2025,25/05/2026,80,Intercity,Medium Truck,No,No,26/06/2025,No
2345D927-6B00-4BFB-8654,15/06/2025,21/05/2027,100,Interstate,Big Truck,Yes,Yes,25/06/2025,No
E25E75A7-E292-439E-8DBC,19/06/2025,28/02/2027,100,Local,Small Truck,Yes,Yes,26/06/2025,No
C05BA825-3436-4A70-9A0D,16/06/2025,28/11/2025,150,Local,Small Truck,Yes,No,26/06/2025,Yes
682B6E51-558A-496C-B639,20/06/2025,21/10/2025,80,Interstate,Big Truck,Yes,No,23/06/2025,No
CA8A9D5D-E097-489B-8CB4,15/06/2025,06/09/2025,100,Intercity,Medium Truck,No,No,27/06/2025,Yes
3C16586E-17D0-4A75-8500,20/06/2025,03/10/2025,150,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
EC68BB70-7A8C-4B97-9CEE,21/06/2025,21/09/2025,150,Intercity,Medium Truck,No,No,27/06/2025,No
1AC905E3-39C9-4898-A270,18/06/2025,29/01/2027,80,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
22E49D10-220F-44ED-BE69,16/06/2025,16/01/2027,80,Intercity,Medium Truck,Yes,No,28/06/2025,Yes
D81EFFA1-39BE-40FC-AFD6,18/06/2025,16/11/2026,120,Intercity,Medium Truck,No,Yes,23/06/2025,No
6D821371-A59A-470F-844A,21/06/2025,18/01/2026,80,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
E3B2BAA2-1A3A-4549-916E,18/06/2025,15/10/2026,120,Interstate,Big Truck,Yes,No,23/06/2025,Yes
2609B745-4B82-482E-8A31,15/06/2025,04/07/2026,100,Intercity,Medium Truck,No,No,27/06/2025,Yes
F72C0CB6-5D6B-49C1-AFC6,21/06/2025,12/03/2026,120,Interstate,Big Truck,No,Yes,25/06/2025,Yes
AF4A1CA2-5D58-41B8-8F7D,15/06/2025,05/10/2026,150,Interstate,Big Truck,Yes,No,29/06/2025,Yes
855AFB6F-CEFF-461F-9626,17/06/2025,18/06/2026,120,Local,Small Truck,No,No,27/06/2025,No
4596FF37-027B-4137-86F5,17/06/2025,23/01/2026,120,Local,Small Truck,Yes,No,25/06/2025,Yes
871899E0-87B5-4929-81E5,15/06/2025,18/12/2026,150,Interstate,Big Truck,No,No,29/06/2025,Yes
1776F197-DE64-48FE-871B,15/06/2025,19/03/2026,60,Intercity,Medium Truck,Yes,No,23/06/2025,No
EA565222-B302-424A-A9D6,19/06/2025,13/03/2026,150,Local,Small Truck,No,Yes,23/06/2025,Yes
A1294309-925B-4C2C-804B,21/06/2025,27/12/2026,150,Interstate,Big Truck,Yes,No,24/06/2025,Yes
2B9E4EC5-33B8-49D6-802B,17/06/2025,10/09/2025,100,Local,Small Truck,Yes,Yes,23/06/2025,Yes
AF5EB08C-5E46-47C2-85B5,17/06/2025,17/07/2026,100,Intercity,Medium Truck,Yes,No,29/06/2025,Yes
DFB5DEE7-FAAC-418A-98EF,15/06/2025,26/08/2025,80,Interstate,Big Truck,Yes,No,24/06/2025,Yes
9A5FD926-DCC3-411C-B3F7,17/06/2025,18/10/2026,150,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
9CB549D0-179E-4CBD-A719,18/06/2025,29/03/2026,150,Local,Small Truck,Yes,Yes,24/06/2025,Yes
4F8AEF02-E90B-4BC7-9511,18/06/2025,03/04/2026,150,Interstate,Big Truck,No,Yes,29/06/2025,Yes
72C0314D-7933-4BB6-A172,15/06/2025,03/12/2026,80,Interstate,Big Truck,Yes,Yes,24/06/2025,Yes
083863AB-221D-4E86-8597,21/06/2025,26/04/2026,100,Local,Small Truck,No,No,27/06/2025,Yes
D0AD76BF-088E-4192-B62A,20/06/2025,05/08/2026,60,Interstate,Big Truck,No,No,28/06/2025,Yes
973A05F7-0F40-49A9-8FF9,20/06/2025,16/03/2027,120,Interstate,Big Truck,Yes,Yes,26/06/2025,Yes
B47A5E7E-F8D7-4882-95F4,18/06/2025,27/06/2026,150,Interstate,Big Truck,No,Yes,28/06/2025,No
A6209C56-ED1F-4840-B616,19/06/2025,05/11/2025,150,Local,Small Truck,Yes,No,27/06/2025,Yes
3988A657-9811-4DAB-AC9E,15/06/2025,17/12/2026,150,Interstate,Big Truck,No,Yes,23/06/2025,Yes
BE287D50-D8A9-4124-ADA0,15/06/2025,23/02/2027,120,Intercity,Medium Truck,No,Yes,23/06/2025,Yes
1478551D-80CF-4E1F-9116,15/06/2025,01/02/2026,80,Intercity,Medium Truck,No,No,27/06/2025,Yes
1422A51C-F1CE-45CF-A847,16/06/2025,29/06/2026,80,Intercity,Medium Truck,Yes,Yes,26/06/2025,Yes
5EEF3BDE-53FF-4B37-9CED,19/06/2025,06/06/2026,80,Intercity,Medium Truck,Yes,No,29/06/2025,No
A7547F75-CF11-4401-8860,19/06/2025,27/09/2026,150,Local,Small Truck,Yes,Yes,23/06/2025,No
538976F7-5314-4B51-A77C,16/06/2025,06/09/2026,150,Intercity,Medium Truck,Yes,No,27/06/2025,Yes
18EB5FA6-F13D-44D7-B0E5,16/06/2025,29/10/2026,150,Local,Small Truck,No,No,23/06/2025,No
72F96B4A-AA25-4522-B885,15/06/2025,04/05/2027,80,Interstate,Big Truck,Yes,No,24/06/2025,Yes
7C2E1D27-0644-44B2-9432,19/06/2025,23/11/2026,60,Intercity,Medium Truck,Yes,No,29/06/2025,No
AD3A90EF-7FF9-49DA-9A72,16/06/2025,05/10/2026,80,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
CB3A1509-9310-42A2-AF03,20/06/2025,07/11/2026,120,Interstate,Big Truck,Yes,No,23/06/2025,No
27D0291C-C489-4C28-B4BB,21/06/2025,19/11/2026,60,Interstate,Big Truck,Yes,Yes,27/06/2025,No
06927CD4-E0EC-4D03-9FFC,15/06/2025,11/03/2027,100,Local,Small Truck,Yes,No,27/06/2025,No
D9877281-8CA7-4388-8B18,20/06/2025,02/01/2027,60,Local,Small Truck,Yes,No,23/06/2025,Yes
A185FF84-EE65-4793-AC28,21/06/2025,06/12/2025,120,Intercity,Medium Truck,Yes,No,23/06/2025,Yes
A83EB468-20F5-4B41-BA0E,16/06/2025,20/07/2026,80,Intercity,Medium Truck,No,Yes,28/06/2025,No
E6387A17-903D-4BF4-9286,18/06/2025,04/06/2027,80,Intercity,Medium Truck,No,Yes,28/06/2025,No
B8A13720-912F-4A2C-B1B7,15/06/2025,29/03/2027,80,Intercity,Medium Truck,No,Yes,29/06/2025,Yes
3768A5A4-6B5B-4DD1-A7CD,21/06/2025,18/01/2027,150,Local,Small Truck,Yes,Yes,24/06/2025,No
FCE32603-4326-410A-97BA,21/06/2025,05/05/2027,60,Local,Small Truck,No,No,23/06/2025,Yes
AFE4FF97-BB04-4BD7-93B7,15/06/2025,17/10/2025,60,Interstate,Big Truck,No,Yes,24/06/2025,No
D4C5714B-EBBE-4539-AFE3,21/06/2025,11/06/2027,120,Interstate,Big Truck,Yes,No,26/06/2025,Yes
4D603F44-597E-4B46-B4ED,16/06/2025,12/11/2025,80,Interstate,Big Truck,No,Yes,24/06/2025,No
68D31CF9-C0DF-4BA8-A40C,20/06/2025,15/05/2027,120,Intercity,Medium Truck,No,Yes,26/06/2025,Yes
DCA2FC1E-7BCB-43B3-8D13,20/06/2025,15/12/2026,150,Local,Small Truck,No,No,23/06/2025,No
979BCA13-4C6E-4CB5-ABB7,19/06/2025,05/09/2025,120,Local,Small Truck,No,No,26/06/2025,No
08AD7970-3A8D-44E4-BAFF,17/06/2025,27/03/2026,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,Yes
1F76E44C-68F4-4B82-A413,15/06/2025,28/05/2026,150,Interstate,Big Truck,Yes,Yes,23/06/2025,No
0007901A-978D-4ABD-B229,18/06/2025,30/08/2026,100,Intercity,Medium Truck,No,No,26/06/2025,No
09E34CF0-F321-40D0-BB9C,21/06/2025,19/09/2026,120,Local,Small Truck,Yes,Yes,23/06/2025,Yes
93FB5E77-53F0-47AE-A002,17/06/2025,06/09/2026,120,Intercity,Medium Truck,Yes,Yes,25/06/2025,No
A6740521-B71E-4CF2-9739,16/06/2025,15/06/2026,120,Local,Small Truck,Yes,No,25/06/2025,No
BD1F4CDE-5355-4F5B-AEA7,17/06/2025,22/10/2025,120,Intercity,Medium Truck,Yes,No,29/06/2025,Yes
