Dispatch_ID,Assignment_ID,Quantity_Dispatched,Dispatch_Date,Vehicle_ID,Operator_ID,Delivery_Status,Is_Damaged,Delay_Reason
795::RACK-1::0000,ZONE-4::RACK-1::795::GJ08X2709,37,2025-07-03 00:00:00,GJ08X2709,OP765,Delivered,0,
384::RACK-1::0001,ZONE-2::RACK-1::384::GJ30X2371,37,2025-07-08 00:00:00,GJ30X2371,OP543,Delayed,0,
434::RACK-1::0002,ZONE-4::RACK-1::434::GJ24X8239,20,2025-07-05 00:00:00,GJ24X8239,OP917,In Transit,0,
789::RACK-1::0003,ZONE-1::RACK-1::789::GJ01X1573,14,2025-07-04 00:00:00,GJ01X1573,OP312,Delayed,0,
285::RACK-1::0004,ZONE-4::RACK-1::285::GJ20X7043,38,2025-07-04 00:00:00,GJ20X7043,OP789,Failed,0,
854::RACK-1::0005,ZONE-3::RACK-1::854::GJ27X6555,27,2025-07-04 00:00:00,GJ27X6555,OP844,Delayed,0,
854::RACK-1::0006,ZONE-3::RACK-1::854::GJ15X2258,20,2025-07-03 00:00:00,GJ15X2258,OP257,In Transit,0,
285::RACK-1::0007,ZONE-4::RACK-1::285::GJ10X3428,9,2025-07-06 00:00:00,GJ10X3428,OP219,Delivered,0,
789::RACK-1::0008,ZONE-1::RACK-1::789::GJ24X6673,22,2025-07-06 00:00:00,GJ24X6673,OP783,In Transit,0,
185::RACK-1::0009,ZONE-4::RACK-1::185::GJ29X9603,45,2025-07-03 00:00:00,GJ29X9603,OP600,Delivered,0,
434::RACK-2::0010,ZONE-4::RACK-2::434::GJ27X7102,13,2025-07-07 00:00:00,GJ27X7102,OP461,In Transit,0,
185::RACK-2::0011,ZONE-4::RACK-2::185::GJ10X3256,17,2025-07-05 00:00:00,GJ10X3256,OP872,Delayed,0,
434::RACK-2::0012,ZONE-4::RACK-2::434::GJ29X3199,30,2025-07-05 00:00:00,GJ29X3199,OP542,Delayed,1,Operator Error
854::RACK-1::0013,ZONE-3::RACK-1::854::GJ27X9363,18,2025-07-06 00:00:00,GJ27X9363,OP950,Failed,0,
384::RACK-1::0014,ZONE-2::RACK-1::384::GJ16X5358,28,2025-07-08 00:00:00,GJ16X5358,OP481,Failed,0,
295::RACK-1::0015,ZONE-1::RACK-1::295::GJ02X6383,17,2025-07-05 00:00:00,GJ02X6383,OP324,In Transit,0,
384::RACK-1::0016,ZONE-2::RACK-1::384::GJ11X5333,35,2025-07-07 00:00:00,GJ11X5333,OP844,Delivered,0,
295::RACK-1::0017,ZONE-1::RACK-1::295::GJ12X5063,3,2025-07-07 00:00:00,GJ12X5063,OP922,In Transit,0,
185::RACK-2::0018,ZONE-4::RACK-2::185::GJ27X2754,36,2025-07-07 00:00:00,GJ27X2754,OP738,In Transit,0,
789::RACK-1::0019,ZONE-1::RACK-1::789::GJ13X1303,30,2025-07-05 00:00:00,GJ13X1303,OP461,Delivered,0,
384::RACK-1::0020,ZONE-2::RACK-1::384::GJ26X3703,17,2025-07-06 00:00:00,GJ26X3703,OP699,In Transit,0,
795::RACK-2::0021,ZONE-4::RACK-2::795::GJ24X8239,20,2025-07-03 00:00:00,GJ24X8239,OP295,In Transit,0,
185::RACK-3::0022,ZONE-4::RACK-3::185::GJ24X1949,6,2025-07-05 00:00:00,GJ24X1949,OP904,Failed,0,
434::RACK-3::0023,ZONE-4::RACK-3::434::GJ27X2754,31,2025-07-04 00:00:00,GJ27X2754,OP890,In Transit,0,
434::RACK-3::0024,ZONE-4::RACK-3::434::GJ16X7539,20,2025-07-04 00:00:00,GJ16X7539,OP803,Delayed,0,
295::RACK-2::0025,ZONE-1::RACK-2::295::GJ06X1549,34,2025-07-05 00:00:00,GJ06X1549,OP975,Delivered,0,
434::RACK-3::0026,ZONE-4::RACK-3::434::GJ27X9811,21,2025-07-05 00:00:00,GJ27X9811,OP231,Delivered,0,
854::RACK-1::0027,ZONE-3::RACK-1::854::GJ15X6806,16,2025-07-06 00:00:00,GJ15X6806,OP142,Delivered,0,
295::RACK-2::0028,ZONE-1::RACK-2::295::GJ14X1053,11,2025-07-06 00:00:00,GJ14X1053,OP460,Failed,0,
795::RACK-3::0029,ZONE-4::RACK-3::795::GJ11X2202,20,2025-07-04 00:00:00,GJ11X2202,OP323,Failed,0,
384::RACK-1::0030,ZONE-2::RACK-1::384::GJ15X5149,31,2025-07-06 00:00:00,GJ15X5149,OP693,Failed,0,
384::RACK-2::0031,ZONE-2::RACK-2::384::GJ17X7384,45,2025-07-05 00:00:00,GJ17X7384,OP634,Failed,0,
295::RACK-2::0032,ZONE-1::RACK-2::295::GJ08X2500,48,2025-07-05 00:00:00,GJ08X2500,OP266,Failed,0,
795::RACK-4::0033,ZONE-4::RACK-4::795::GJ23X1698,11,2025-07-08 00:00:00,GJ23X1698,OP542,Delivered,0,
285::RACK-4::0034,ZONE-4::RACK-4::285::GJ01X1573,38,2025-07-03 00:00:00,GJ01X1573,OP407,In Transit,0,
384::RACK-2::0035,ZONE-2::RACK-2::384::GJ27X4558,14,2025-07-04 00:00:00,GJ27X4558,OP714,Failed,0,
434::RACK-4::0036,ZONE-4::RACK-4::434::GJ07X6453,27,2025-07-03 00:00:00,GJ07X6453,OP600,Delivered,0,
285::RACK-4::0037,ZONE-4::RACK-4::285::GJ04X2061,8,2025-07-06 00:00:00,GJ04X2061,OP165,In Transit,0,
185::RACK-4::0038,ZONE-4::RACK-4::185::GJ14X3727,49,2025-07-05 00:00:00,GJ14X3727,OP726,Delayed,1,Depot Overflow
795::RACK-5::0039,ZONE-4::RACK-5::795::GJ15X3297,14,2025-07-04 00:00:00,GJ15X3297,OP360,In Transit,0,
434::RACK-5::0040,ZONE-4::RACK-5::434::GJ16X6108,28,2025-07-05 00:00:00,GJ16X6108,OP498,Delayed,0,
434::RACK-5::0041,ZONE-4::RACK-5::434::GJ19X6467,16,2025-07-07 00:00:00,GJ19X6467,OP154,In Transit,0,
789::RACK-2::0042,ZONE-1::RACK-2::789::GJ30X4177,1,2025-07-06 00:00:00,GJ30X4177,OP810,Failed,1,Weather
434::RACK-5::0043,ZONE-4::RACK-5::434::GJ25X9157,49,2025-07-08 00:00:00,GJ25X9157,OP977,Delivered,0,
795::RACK-5::0044,ZONE-4::RACK-5::795::GJ01X1085,38,2025-07-07 00:00:00,GJ01X1085,OP489,Delivered,0,
789::RACK-2::0045,ZONE-1::RACK-2::789::GJ06X9142,28,2025-07-05 00:00:00,GJ06X9142,OP975,Delayed,1,Weather
285::RACK-6::0046,ZONE-4::RACK-6::285::GJ13X2230,41,2025-07-03 00:00:00,GJ13X2230,OP183,Delayed,0,
285::RACK-6::0047,ZONE-4::RACK-6::285::GJ04X6241,14,2025-07-07 00:00:00,GJ04X6241,OP705,Failed,1,Weather
295::RACK-3::0048,ZONE-1::RACK-3::295::GJ22X7532,11,2025-07-03 00:00:00,GJ22X7532,OP725,Delivered,0,
295::RACK-3::0049,ZONE-1::RACK-3::295::GJ23X8514,6,2025-07-09 00:00:00,GJ23X8514,OP101,Delivered,0,
185::RACK-6::0050,ZONE-4::RACK-6::185::GJ18X9809,21,2025-07-07 00:00:00,GJ18X9809,OP245,Failed,1,Depot Overflow
434::RACK-6::0051,ZONE-4::RACK-6::434::GJ21X7008,29,2025-07-07 00:00:00,GJ21X7008,OP460,Delayed,0,
795::RACK-6::0052,ZONE-4::RACK-6::795::GJ15X5149,41,2025-07-03 00:00:00,GJ15X5149,OP257,Delivered,0,
185::RACK-7::0053,ZONE-4::RACK-7::185::GJ17X1851,28,2025-07-06 00:00:00,GJ17X1851,OP429,In Transit,0,
285::RACK-7::0054,ZONE-4::RACK-7::285::GJ23X1668,38,2025-07-05 00:00:00,GJ23X1668,OP814,Failed,0,
295::RACK-3::0055,ZONE-1::RACK-3::295::GJ09X7005,41,2025-07-04 00:00:00,GJ09X7005,OP753,Failed,1,Traffic
434::RACK-7::0056,ZONE-4::RACK-7::434::GJ08X2709,5,2025-07-06 00:00:00,GJ08X2709,OP881,Failed,1,Logistics
384::RACK-2::0057,ZONE-2::RACK-2::384::GJ27X2754,14,2025-07-07 00:00:00,GJ27X2754,OP589,Failed,1,Depot Overflow
854::RACK-1::0058,ZONE-3::RACK-1::854::GJ10X4612,6,2025-07-05 00:00:00,GJ10X4612,OP969,Delayed,0,
434::RACK-7::0059,ZONE-4::RACK-7::434::GJ27X9811,32,2025-07-04 00:00:00,GJ27X9811,OP774,Delivered,0,
285::RACK-7::0060,ZONE-4::RACK-7::285::GJ08X3513,33,2025-07-08 00:00:00,GJ08X3513,OP185,Delivered,0,
795::RACK-8::0061,ZONE-4::RACK-8::795::GJ17X4217,48,2025-07-07 00:00:00,GJ17X4217,OP741,In Transit,0,
