Transport_ID,Dispatched_Quantity,Vehicle_Type,Route_Type,Start_Location,End_Location,Estimated_Transit_Days,Status
ZONE-4::RACK-1::795::GJ22X5898::General,0,General,Intercity,Mumbai,Mumbai,6,Scheduled
ZONE-2::RACK-1::384::GJ18X6865::Specialised,0,Specialised,Intercity,Baroda,Mumbai,4,Scheduled
ZONE-4::RACK-1::434::GJ03X4067::General,0,General,Intercity,Jaipur,Baroda,5,Scheduled
ZONE-1::RACK-1::789::GJ29X3199::Specialised,0,Specialised,Intercity,Jaipur,Surat,7,Scheduled
ZONE-4::RACK-1::285::GJ12X1758::General,0,General,InterState,Ahmedabad,Baroda,5,Scheduled
ZONE-3::RACK-1::854::GJ27X4732::Specialised,0,Specialised,InterState,Rajkot,Baroda,15,Scheduled
ZONE-3::RACK-1::854::GJ27X1769::Specialised,0,Specialised,Intercity,Jaipur,Surat,2,Scheduled
ZONE-4::RACK-1::285::GJ24X6532::General,0,General,InterState,Ahmedabad,Ahmedabad,10,Scheduled
ZONE-1::RACK-1::789::GJ05X2776::Specialised,0,Specialised,Intercity,Baroda,Baroda,6,Scheduled
ZONE-4::RACK-1::185::GJ21X4763::General,0,General,Intercity,Surat,Jaipur,4,Scheduled
ZONE-4::RACK-2::434::GJ24X6892::General,0,General,InterState,Baroda,Jaipur,15,Scheduled
ZONE-4::RACK-2::185::GJ10X5398::General,0,General,Intercity,Ahmedabad,Rajkot,4,Scheduled
ZONE-4::RACK-2::434::GJ19X5382::General,0,General,InterState,Surat,Ahmedabad,15,Scheduled
ZONE-3::RACK-1::854::GJ18X9809::Specialised,0,Specialised,Intercity,Ahmedabad,Jaipur,7,Scheduled
ZONE-2::RACK-1::384::GJ06X1200::Specialised,0,Specialised,Intercity,Rajkot,Mumbai,4,Scheduled
ZONE-1::RACK-1::295::GJ13X1303::Specialised,0,Specialised,Intercity,Surat,Jaipur,5,Scheduled
ZONE-2::RACK-1::384::GJ28X6836::Specialised,0,Specialised,Intercity,Surat,Ahmedabad,3,Scheduled
ZONE-1::RACK-1::295::GJ10X5068::Specialised,0,Specialised,InterState,Jaipur,Surat,10,Scheduled
ZONE-4::RACK-2::185::GJ10X2304::General,0,General,Intercity,Surat,Rajkot,6,Scheduled
ZONE-1::RACK-1::789::GJ14X5845::Specialised,0,Specialised,InterState,Surat,Ahmedabad,5,Scheduled
ZONE-2::RACK-1::384::GJ17X3593::Specialised,0,Specialised,InterState,Mumbai,Surat,15,Scheduled
ZONE-4::RACK-2::795::GJ15X5149::General,0,General,InterState,Mumbai,Ahmedabad,14,Scheduled
ZONE-4::RACK-3::185::GJ08X8689::General,0,General,Intercity,Jaipur,Jaipur,2,Scheduled
ZONE-4::RACK-3::434::GJ17X5492::General,0,General,Intercity,Baroda,Ahmedabad,4,Scheduled
ZONE-4::RACK-3::434::GJ09X8395::General,0,General,InterState,Baroda,Surat,6,Scheduled
ZONE-1::RACK-2::295::GJ11X9180::Specialised,0,Specialised,Intercity,Jaipur,Baroda,2,Scheduled
ZONE-4::RACK-3::434::GJ16X6108::General,0,General,Intercity,Baroda,Surat,4,Scheduled
ZONE-3::RACK-1::854::GJ15X2279::Specialised,0,Specialised,Intercity,Ahmedabad,Jaipur,3,Scheduled
ZONE-1::RACK-2::295::GJ30X3926::Specialised,0,Specialised,Intercity,Jaipur,Rajkot,7,Scheduled
ZONE-4::RACK-3::795::GJ27X6555::General,0,General,Intercity,Jaipur,Jaipur,5,Scheduled
ZONE-2::RACK-1::384::GJ08X1229::Specialised,0,Specialised,InterState,Surat,Mumbai,8,Scheduled
ZONE-2::RACK-2::384::GJ24X1949::Specialised,0,Specialised,Intercity,Rajkot,Jaipur,5,Scheduled
ZONE-1::RACK-2::295::GJ28X7060::Specialised,0,Specialised,InterState,Rajkot,Baroda,8,Scheduled
ZONE-4::RACK-4::795::GJ25X5218::General,0,General,InterState,Rajkot,Jaipur,14,Scheduled
ZONE-4::RACK-4::285::GJ15X1880::General,0,General,Intercity,Surat,Ahmedabad,7,Scheduled
ZONE-2::RACK-2::384::GJ04X2060::Specialised,0,Specialised,Intercity,Rajkot,Rajkot,7,Scheduled
ZONE-4::RACK-4::434::GJ11X5333::General,0,General,InterState,Baroda,Ahmedabad,5,Scheduled
ZONE-4::RACK-4::285::GJ30X2401::General,0,General,InterState,Rajkot,Jaipur,13,Scheduled
ZONE-4::RACK-4::185::GJ12X6087::General,0,General,Intercity,Surat,Ahmedabad,5,Scheduled
ZONE-4::RACK-5::795::GJ11X5102::General,0,General,InterState,Rajkot,Rajkot,9,Scheduled
ZONE-4::RACK-5::434::GJ14X3727::General,0,General,InterState,Surat,Mumbai,5,Scheduled
ZONE-4::RACK-5::434::GJ04X5804::General,0,General,InterState,Mumbai,Surat,8,Scheduled
ZONE-1::RACK-2::789::GJ28X7704::Specialised,0,Specialised,InterState,Mumbai,Ahmedabad,9,Scheduled
ZONE-4::RACK-5::434::GJ14X3279::General,0,General,InterState,Surat,Mumbai,8,Scheduled
ZONE-4::RACK-5::795::GJ06X8468::General,0,General,InterState,Ahmedabad,Jaipur,8,Scheduled
ZONE-1::RACK-2::789::GJ23X1668::Specialised,0,Specialised,InterState,Surat,Ahmedabad,8,Scheduled
ZONE-4::RACK-6::285::GJ30X9209::General,0,General,Intercity,Ahmedabad,Ahmedabad,4,Scheduled
ZONE-4::RACK-6::285::GJ15X3297::General,0,General,Intercity,Rajkot,Mumbai,2,Scheduled
ZONE-1::RACK-3::295::GJ26X5488::Specialised,0,Specialised,Intercity,Jaipur,Surat,2,Scheduled
ZONE-1::RACK-3::295::GJ17X1851::Specialised,0,Specialised,Intercity,Jaipur,Baroda,5,Scheduled
ZONE-4::RACK-6::185::GJ18X7432::General,0,General,InterState,Ahmedabad,Ahmedabad,10,Scheduled
ZONE-4::RACK-6::434::GJ15X2791::General,0,General,InterState,Mumbai,Ahmedabad,8,Scheduled
ZONE-4::RACK-6::795::GJ27X3027::General,0,General,InterState,Surat,Jaipur,15,Scheduled
ZONE-4::RACK-7::185::GJ22X4867::General,0,General,Intercity,Mumbai,Ahmedabad,3,Scheduled
ZONE-4::RACK-7::285::GJ10X3428::General,0,General,Intercity,Surat,Ahmedabad,2,Scheduled
ZONE-1::RACK-3::295::GJ06X2813::Specialised,0,Specialised,Intercity,Baroda,Rajkot,5,Scheduled
ZONE-4::RACK-7::434::GJ23X1598::General,0,General,InterState,Surat,Surat,7,Scheduled
ZONE-2::RACK-2::384::GJ30X6638::Specialised,0,Specialised,InterState,Ahmedabad,Ahmedabad,9,Scheduled
ZONE-3::RACK-1::854::GJ23X2866::Specialised,0,Specialised,Intercity,Surat,Jaipur,3,Scheduled
ZONE-4::RACK-7::434::GJ25X3449::General,0,General,Intercity,Baroda,Baroda,3,Scheduled
ZONE-4::RACK-7::285::GJ27X4504::General,0,General,Intercity,Rajkot,Surat,5,Scheduled
ZONE-4::RACK-8::795::GJ27X3348::General,0,General,Intercity,Ahmedabad,Ahmedabad,6,Scheduled
ZONE-4::RACK-8::434::GJ24X8239::General,0,General,Intercity,Ahmedabad,Baroda,6,Scheduled
ZONE-4::RACK-8::285::GJ07X6453::General,0,General,Intercity,Rajkot,Rajkot,2,Scheduled
ZONE-4::RACK-8::434::GJ30X8944::General,0,General,Intercity,Mumbai,Jaipur,2,Scheduled
ZONE-4::RACK-8::185::GJ06X5907::General,0,General,Intercity,Mumbai,Ahmedabad,2,Scheduled
ZONE-1::RACK-3::295::GJ25X9157::Specialised,0,Specialised,Intercity,Jaipur,Rajkot,4,Scheduled
ZONE-4::RACK-9::795::GJ27X9811::General,0,General,Intercity,Jaipur,Surat,4,Scheduled
ZONE-1::RACK-3::789::GJ29X9603::Specialised,0,Specialised,InterState,Baroda,Jaipur,6,Scheduled
ZONE-1::RACK-4::789::GJ17X4217::Specialised,0,Specialised,Intercity,Ahmedabad,Mumbai,6,Scheduled
ZONE-4::RACK-9::285::GJ01X5402::General,0,General,InterState,Mumbai,Rajkot,5,Scheduled
ZONE-4::RACK-9::185::GJ09X4010::General,0,General,Intercity,Ahmedabad,Ahmedabad,4,Scheduled
ZONE-1::RACK-4::295::GJ04X2061::Specialised,0,Specialised,Intercity,Mumbai,Jaipur,6,Scheduled
