Product_ID,prefix,uid
DEW-1000-B31-795,DEW,795
IMM-1001-B59-384,IMM,384
SUP-1002-B44-434,SUP,434
ANT-1003-B28-789,ANT,789
VIT-1004-B54-285,VIT,285
TOP-1005-B43-854,TOP,854
TOP-1006-B41-854,TOP,854
VIT-1007-B49-285,VIT,285
ANT-1008-B44-789,ANT,789
DIG-1009-B17-185,DIG,185
SUP-1010-B75-434,SUP,434
DIG-1011-B88-185,DIG,185
SUP-1012-B41-434,SUP,434
TOP-1013-B51-854,TOP,854
IMM-1014-B84-384,IMM,384
ANT-1015-B51-295,ANT,295
IMM-1016-B90-384,IMM,384
ANT-1017-B23-295,ANT,295
DIG-1018-B25-185,DIG,185
ANT-1019-B72-789,ANT,789
IMM-1020-B96-384,IMM,384
DEW-1021-B76-795,DEW,795
DIG-1022-B98-185,DIG,185
SUP-1023-B72-434,SUP,434
SUP-1024-B89-434,SUP,434
ANT-1025-B60-295,ANT,295
SUP-1026-B98-434,SUP,434
TOP-1027-B25-854,TOP,854
ANT-1028-B91-295,ANT,295
DEW-1029-B33-795,,795
IMM-1030-B15-384,,384
IMM-1031-B49-384,,384
ANT-1032-B55-295,,295
DEW-1033-B84-795,,795
VIT-1034-B86-285,,285
IMM-1035-B77-384,,384
SUP-1036-B28-434,,434
VIT-1037-B38-285,,285
DIG-1038-B72-185,,185
DEW-1039-B55-795,,795
SUP-1040-B15-434,,434
SUP-1041-B44-434,,434
ANT-1042-B56-789,,
SUP-1043-B51-434,,
DEW-1044-B35-795,,
ANT-1045-B50-789,,
VIT-1046-B34-285,,
VIT-1047-B24-285,,
ANT-1048-B11-295,,
ANT-1049-B33-295,,
DIG-1050-B81-185,,
SUP-1051-B85-434,,
DEW-1052-B75-795,,
DIG-1053-B54-185,,
VIT-1054-B47-285,,
ANT-1055-B18-295,,
SUP-1056-B88-434,,
IMM-1057-B77-384,,
TOP-1058-B12-854,,
SUP-1059-B84-434,,
VIT-1060-B83-285,,
DEW-1061-B43-795,,
SUP-1062-B29-434,,
VIT-1063-B64-285,,
SUP-1064-B83-434,,
DIG-1065-B11-185,,
ANT-1066-B98-295,,
DEW-1067-B96-795,,
ANT-1068-B74-789,,
ANT-1069-B85-789,,
VIT-1070-B55-285,,
DIG-1071-B10-185,,
ANT-1072-B81-295,,
SUP-1073-B31-434,,
IMM-1074-B47-384,,
DEW-1075-B42-795,,
IMM-1076-B11-384,,
DIG-1077-B55-185,,
TOP-1078-B35-854,,
VIT-1079-B59-285,,
VIT-1080-B80-285,,
TOP-1081-B36-854,,
VIT-1082-B59-285,,
IMM-1083-B98-384,,
IMM-1084-B92-384,,
IMM-1085-B46-384,,
DIG-1086-B83-185,,
ANT-1087-B11-789,,
IMM-1088-B90-384,,
DIG-1089-B64-185,,
ANT-1090-B61-295,,
ANT-1091-B91-789,,
IMM-1092-B21-384,,
VIT-1093-B38-285,,
IMM-1094-B48-384,,
DIG-1095-B54-185,,
DIG-1096-B88-185,,
VIT-1097-B62-285,,
IMM-1098-B84-384,,
SUP-1099-B65-434,,
IMM-1100-B65-384,,
DIG-1101-B51-185,,
IMM-1102-B87-384,,
IMM-1103-B54-384,,
IMM-1104-B95-384,,
DIG-1105-B99-185,,
DIG-1106-B45-185,,
SUP-1107-B27-434,,
ANT-1108-B50-295,,
SUP-1109-B96-434,,
DIG-1110-B95-185,,
DEW-1111-B24-795,,
IMM-1112-B53-384,,
SUP-1113-B22-434,,
DEW-1114-B47-795,,
ANT-1115-B91-295,,
DEW-1116-B83-795,,
DIG-1117-B90-185,,
VIT-1118-B39-285,,
VIT-1119-B87-285,,
IMM-1120-B75-384,,
ANT-1121-B48-295,,
ANT-1122-B15-789,,
DIG-1123-B59-185,,
IMM-1124-B91-384,,
VIT-1125-B41-285,,
ANT-1126-B95-295,,
SUP-1127-B14-434,,
ANT-1128-B55-789,,
SUP-1129-B62-434,,
TOP-1130-B59-854,,
ANT-1131-B48-295,,
ANT-1132-B36-789,,
VIT-1133-B99-285,,
ANT-1134-B35-789,,
TOP-1135-B83-854,,
DIG-1136-B31-185,,
ANT-1137-B85-789,,
DEW-1138-B28-795,,
DEW-1139-B95-795,,
VIT-1140-B91-285,,
TOP-1141-B54-854,,
VIT-1142-B41-285,,
VIT-1143-B77-285,,
DIG-1144-B87-185,,
VIT-1145-B35-285,,
TOP-1146-B44-854,,
TOP-1147-B39-854,,
VIT-1148-B66-285,,
DIG-1149-B57-185,,
DEW-1150-B89-795,,
IMM-1151-B76-384,,
IMM-1152-B47-384,,
SUP-1153-B34-434,,
DIG-1154-B29-185,,
TOP-1155-B43-854,,
DIG-1156-B51-185,,
VIT-1157-B96-285,,
ANT-1158-B48-295,,
DEW-1159-B80-795,,
ANT-1160-B12-295,,
DEW-1161-B12-795,,
IMM-1162-B41-384,,
DEW-1163-B50-795,,
DEW-1164-B84-795,,
IMM-1165-B10-384,,
VIT-1166-B12-285,,
DEW-1167-B14-795,,
ANT-1168-B28-295,,
DIG-1169-B40-185,,
VIT-1170-B18-285,,
VIT-1171-B66-285,,
ANT-1172-B25-789,,
DEW-1173-B47-795,,
ANT-1174-B28-789,,
TOP-1175-B69-854,,
ANT-1176-B36-295,,
VIT-1177-B51-285,,
VIT-1178-B91-285,,
IMM-1179-B72-384,,
DIG-1180-B30-185,,
SUP-1181-B24-434,,
TOP-1182-B91-854,,
ANT-1183-B78-295,,
TOP-1184-B46-854,,
DEW-1185-B90-795,,
DEW-1186-B57-795,,
IMM-1187-B20-384,,
IMM-1188-B54-384,,
DEW-1189-B52-795,,
ANT-1190-B75-295,,
ANT-1191-B13-789,,
DIG-1192-B86-185,,
ANT-1193-B54-295,,
SUP-1194-B37-434,,
DIG-1195-B51-185,,
ANT-1196-B20-295,,
DEW-1197-B65-795,,
SUP-1198-B11-434,,
TOP-1199-B87-854,,
DEW-1200-B97-795,,
SUP-1201-B25-434,,
VIT-1202-B11-285,,
DIG-1203-B81-185,,
DIG-1204-B57-185,,
DEW-1205-B28-795,,
TOP-1206-B42-854,,
SUP-1207-B56-434,,
SUP-1208-B34-434,,
DEW-1209-B15-795,,
VIT-1210-B69-285,,
DIG-1211-B51-185,,
VIT-1212-B35-285,,
DEW-1213-B45-795,,
IMM-1214-B55-384,,
VIT-1215-B71-285,,
VIT-1216-B34-285,,
VIT-1217-B19-285,,
VIT-1218-B61-285,,
VIT-1219-B75-285,,
DEW-1220-B11-795,,
VIT-1221-B58-285,,
VIT-1222-B35-285,,
TOP-1223-B92-854,,
TOP-1224-B78-854,,
DIG-1225-B51-185,,
IMM-1226-B37-384,,
IMM-1227-B64-384,,
