Storage_ID,Product_ID,Rack_Location,Zone,Stored_Quantity,FIFO_Flag
ZONE-4:RACK-1:795,DEW-1000-B31-795,RACK-1,ZONE-4,51,1
ZONE-2:RACK-1:384,IMM-1001-B59-384,RACK-1,ZONE-2,50,1
ZONE-4:RACK-1:434,SUP-1002-B44-434,RACK-1,ZONE-4,114,1
ZONE-1:RACK-1:789,ANT-1003-B28-789,RACK-1,ZONE-1,74,1
ZONE-4:RACK-1:285,VIT-1004-B54-285,RACK-1,ZONE-4,199,1
ZONE-3:RACK-1:854,TOP-1005-B43-854,RACK-1,ZONE-3,93,1
ZONE-3:RACK-1:855,TOP-1006-B41-854,RACK-1,ZONE-3,69,1
ZONE-4:RACK-1:286,VIT-1007-B49-285,RACK-1,ZONE-4,152,1
ZONE-1:RACK-1:790,ANT-1008-B44-789,RACK-1,ZONE-1,114,1
ZONE-4:RACK-1:185,DIG-1009-B17-185,RACK-1,ZONE-4,180,1
ZONE-4:RACK-2:434,SUP-1010-B75-434,RACK-2,ZONE-4,63,1
ZONE-4:RACK-2:185,DIG-1011-B88-185,RACK-2,ZONE-4,198,1
ZONE-4:RACK-2:435,SUP-1012-B41-434,RACK-2,ZONE-4,139,1
ZONE-3:RACK-1:856,TOP-1013-B51-854,RACK-1,ZONE-3,155,1
ZONE-2:RACK-1:385,IMM-1014-B84-384,RACK-1,ZONE-2,136,1
ZONE-1:RACK-1:295,ANT-1015-B51-295,RACK-1,ZONE-1,138,1
ZONE-2:RACK-1:386,IMM-1016-B90-384,RACK-1,ZONE-2,144,1
ZONE-1:RACK-1:296,ANT-1017-B23-295,RACK-1,ZONE-1,193,1
ZONE-4:RACK-2:186,DIG-1018-B25-185,RACK-2,ZONE-4,137,1
ZONE-1:RACK-1:791,ANT-1019-B72-789,RACK-1,ZONE-1,85,1
ZONE-2:RACK-1:387,IMM-1020-B96-384,RACK-1,ZONE-2,126,1
ZONE-4:RACK-2:795,DEW-1021-B76-795,RACK-2,ZONE-4,184,1
ZONE-4:RACK-3:185,DIG-1022-B98-185,RACK-3,ZONE-4,60,1
ZONE-4:RACK-3:434,SUP-1023-B72-434,RACK-3,ZONE-4,97,1
ZONE-4:RACK-3:435,SUP-1024-B89-434,RACK-3,ZONE-4,140,1
ZONE-1:RACK-2:295,ANT-1025-B60-295,RACK-2,ZONE-1,91,1
ZONE-4:RACK-3:436,SUP-1026-B98-434,RACK-3,ZONE-4,179,1
ZONE-3:RACK-1:857,TOP-1027-B25-854,RACK-1,ZONE-3,154,1
ZONE-1:RACK-2:296,ANT-1028-B91-295,RACK-2,ZONE-1,62,1
ZONE-4:RACK-3:795,DEW-1029-B33-795,RACK-3,ZONE-4,166,1
ZONE-2:RACK-1:388,IMM-1030-B15-384,RACK-1,ZONE-2,172,1
ZONE-2:RACK-2:384,IMM-1031-B49-384,RACK-2,ZONE-2,168,1
ZONE-1:RACK-2:297,ANT-1032-B55-295,RACK-2,ZONE-1,106,1
ZONE-4:RACK-4:795,DEW-1033-B84-795,RACK-4,ZONE-4,136,1
ZONE-4:RACK-4:285,VIT-1034-B86-285,RACK-4,ZONE-4,64,1
ZONE-2:RACK-2:385,IMM-1035-B77-384,RACK-2,ZONE-2,179,1
ZONE-4:RACK-4:434,SUP-1036-B28-434,RACK-4,ZONE-4,182,1
ZONE-4:RACK-4:286,VIT-1037-B38-285,RACK-4,ZONE-4,74,1
ZONE-4:RACK-4:185,DIG-1038-B72-185,RACK-4,ZONE-4,81,1
ZONE-4:RACK-5:795,DEW-1039-B55-795,RACK-5,ZONE-4,170,1
ZONE-4:RACK-5:434,SUP-1040-B15-434,RACK-5,ZONE-4,183,1
ZONE-4:RACK-5:435,SUP-1041-B44-434,RACK-5,ZONE-4,145,1
ZONE-1:RACK-2:789,ANT-1042-B56-789,RACK-2,ZONE-1,135,1
ZONE-4:RACK-5:436,SUP-1043-B51-434,RACK-5,ZONE-4,129,1
ZONE-4:RACK-5:796,DEW-1044-B35-795,RACK-5,ZONE-4,110,1
ZONE-1:RACK-2:790,ANT-1045-B50-789,RACK-2,ZONE-1,75,1
ZONE-4:RACK-6:285,VIT-1046-B34-285,RACK-6,ZONE-4,168,1
ZONE-4:RACK-6:286,VIT-1047-B24-285,RACK-6,ZONE-4,152,1
ZONE-1:RACK-3:295,ANT-1048-B11-295,RACK-3,ZONE-1,194,1
ZONE-1:RACK-3:296,ANT-1049-B33-295,RACK-3,ZONE-1,67,1
ZONE-4:RACK-6:185,DIG-1050-B81-185,RACK-6,ZONE-4,55,1
ZONE-4:RACK-6:434,SUP-1051-B85-434,RACK-6,ZONE-4,184,1
ZONE-4:RACK-6:795,DEW-1052-B75-795,RACK-6,ZONE-4,192,1
ZONE-4:RACK-7:185,DIG-1053-B54-185,RACK-7,ZONE-4,131,1
ZONE-4:RACK-7:285,VIT-1054-B47-285,RACK-7,ZONE-4,80,1
ZONE-1:RACK-3:297,ANT-1055-B18-295,RACK-3,ZONE-1,116,1
ZONE-4:RACK-7:434,SUP-1056-B88-434,RACK-7,ZONE-4,174,1
ZONE-2:RACK-2:386,IMM-1057-B77-384,RACK-2,ZONE-2,182,1
ZONE-3:RACK-1:858,TOP-1058-B12-854,RACK-1,ZONE-3,171,1
ZONE-4:RACK-7:435,SUP-1059-B84-434,RACK-7,ZONE-4,184,1
ZONE-4:RACK-7:286,VIT-1060-B83-285,RACK-7,ZONE-4,77,1
ZONE-4:RACK-8:795,DEW-1061-B43-795,RACK-8,ZONE-4,70,1
ZONE-4:RACK-8:434,SUP-1062-B29-434,RACK-8,ZONE-4,176,1
ZONE-4:RACK-8:285,VIT-1063-B64-285,RACK-8,ZONE-4,93,1
ZONE-4:RACK-8:435,SUP-1064-B83-434,RACK-8,ZONE-4,141,1
ZONE-4:RACK-8:185,DIG-1065-B11-185,RACK-8,ZONE-4,67,1
ZONE-1:RACK-3:298,ANT-1066-B98-295,RACK-3,ZONE-1,74,1
ZONE-4:RACK-9:795,DEW-1067-B96-795,RACK-9,ZONE-4,73,1
ZONE-1:RACK-3:789,ANT-1068-B74-789,RACK-3,ZONE-1,196,1
ZONE-1:RACK-4:789,ANT-1069-B85-789,RACK-4,ZONE-1,69,1
ZONE-4:RACK-9:285,VIT-1070-B55-285,RACK-9,ZONE-4,56,1
ZONE-4:RACK-9:185,DIG-1071-B10-185,RACK-9,ZONE-4,93,1
ZONE-1:RACK-4:295,ANT-1072-B81-295,RACK-4,ZONE-1,147,1
ZONE-4:RACK-9:434,SUP-1073-B31-434,RACK-9,ZONE-4,112,1
ZONE-2:RACK-2:387,IMM-1074-B47-384,RACK-2,ZONE-2,83,1
ZONE-4:RACK-9:796,DEW-1075-B42-795,RACK-9,ZONE-4,119,1
ZONE-2:RACK-2:388,IMM-1076-B11-384,RACK-2,ZONE-2,98,1
ZONE-4:RACK-10:185,DIG-1077-B55-185,RACK-10,ZONE-4,89,1
ZONE-3:RACK-2:854,TOP-1078-B35-854,RACK-2,ZONE-3,60,1
ZONE-4:RACK-10:285,VIT-1079-B59-285,RACK-10,ZONE-4,101,1
ZONE-4:RACK-10:286,VIT-1080-B80-285,RACK-10,ZONE-4,86,1
ZONE-3:RACK-2:855,TOP-1081-B36-854,RACK-2,ZONE-3,136,1
ZONE-4:RACK-10:287,VIT-1082-B59-285,RACK-10,ZONE-4,130,1
ZONE-2:RACK-3:384,IMM-1083-B98-384,RACK-3,ZONE-2,95,1
ZONE-2:RACK-3:385,IMM-1084-B92-384,RACK-3,ZONE-2,119,1
ZONE-2:RACK-3:386,IMM-1085-B46-384,RACK-3,ZONE-2,130,1
ZONE-4:RACK-10:186,DIG-1086-B83-185,RACK-10,ZONE-4,131,1
ZONE-1:RACK-4:790,ANT-1087-B11-789,RACK-4,ZONE-1,64,1
ZONE-2:RACK-3:387,IMM-1088-B90-384,RACK-3,ZONE-2,70,1
ZONE-4:RACK-1:186,DIG-1089-B64-185,RACK-1,ZONE-4,147,1
ZONE-1:RACK-4:296,ANT-1090-B61-295,RACK-4,ZONE-1,61,1
ZONE-1:RACK-4:791,ANT-1091-B91-789,RACK-4,ZONE-1,182,1
ZONE-2:RACK-3:388,IMM-1092-B21-384,RACK-3,ZONE-2,113,1
