Event_ID,Assignment_ID,Product_ID,Transport_ID,Dispatch_Window,Delivery_Window,Urgent_Flag,Event_Type,Event_Date
ASN-00000,ZONE-4::RACK-1::795::GJ08X2709,DEW-1000-B31-795,ZONE-4::RACK-6::795::GJ08X2709::General,2025-07-03,2025-07-05,0,Assigned,2025-06-24 14:19:16.863742
ASN-00001,ZONE-2::RACK-1::384::GJ30X2371,IMM-1001-B59-384,ZONE-2::RACK-7::384::GJ30X2371::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00002,ZONE-4::RACK-1::434::GJ24X8239,SUP-1002-B44-434,ZONE-4::RACK-7::434::GJ24X8239::General,2025-07-04,2025-07-07,0,Assigned,2025-06-30 14:19:16.863742
ASN-00003,ZONE-1::RACK-1::789::GJ01X1573,ANT-1003-B28-789,ZONE-1::RACK-4::789::GJ01X1573::Specialised,2025-07-03,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00004,ZONE-4::RACK-1::285::GJ20X7043,VIT-1004-B54-285,ZONE-4::RACK-7::285::GJ20X7043::General,2025-07-03,2025-07-07,1,Assigned,2025-06-30 14:19:16.863742
ASN-00005,ZONE-3::RACK-1::854::GJ27X6555,TOP-1005-B43-854,ZONE-3::RACK-9::854::GJ27X6555::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-24 14:19:16.863742
ASN-00006,ZONE-3::RACK-1::854::GJ15X2258,TOP-1006-B41-854,ZONE-3::RACK-3::854::GJ15X2258::Specialised,2025-07-03,2025-07-06,1,Assigned,2025-06-27 14:19:16.863742
ASN-00007,ZONE-4::RACK-1::285::GJ10X3428,VIT-1007-B49-285,ZONE-4::RACK-4::285::GJ10X3428::General,2025-07-05,2025-07-07,0,Assigned,2025-07-01 14:19:16.863742
ASN-00008,ZONE-1::RACK-1::789::GJ24X6673,ANT-1008-B44-789,ZONE-1::RACK-4::789::GJ24X6673::Specialised,2025-07-04,2025-07-06,1,Assigned,2025-06-25 14:19:16.863742
ASN-00009,ZONE-4::RACK-1::185::GJ29X9603,DIG-1009-B17-185,ZONE-4::RACK-5::185::GJ29X9603::General,2025-07-03,2025-07-05,1,Assigned,2025-06-28 14:19:16.863742
ASN-00010,ZONE-4::RACK-2::434::GJ27X7102,SUP-1010-B75-434,ZONE-4::RACK-4::434::GJ27X7102::General,2025-07-03,2025-07-07,1,Assigned,2025-06-28 14:19:16.863742
ASN-00011,ZONE-4::RACK-2::185::GJ10X3256,DIG-1011-B88-185,ZONE-4::RACK-3::185::GJ10X3256::General,2025-07-04,2025-07-06,1,Assigned,2025-06-30 14:19:16.863742
ASN-00012,ZONE-4::RACK-2::434::GJ29X3199,SUP-1012-B41-434,ZONE-4::RACK-4::434::GJ29X3199::General,2025-07-05,2025-07-08,1,Assigned,2025-06-29 14:19:16.863742
ASN-00013,ZONE-3::RACK-1::854::GJ27X9363,TOP-1013-B51-854,ZONE-3::RACK-9::854::GJ27X9363::Specialised,2025-07-04,2025-07-07,1,Assigned,2025-06-29 14:19:16.863742
ASN-00014,ZONE-2::RACK-1::384::GJ16X5358,IMM-1014-B84-384,ZONE-2::RACK-1::384::GJ16X5358::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-26 14:19:16.863742
ASN-00015,ZONE-1::RACK-1::295::GJ02X6383,ANT-1015-B51-295,ZONE-1::RACK-9::295::GJ02X6383::Specialised,2025-07-04,2025-07-08,1,Assigned,2025-06-27 14:19:16.863742
ASN-00016,ZONE-2::RACK-1::384::GJ11X5333,IMM-1016-B90-384,ZONE-2::RACK-6::384::GJ11X5333::Specialised,2025-07-05,2025-07-08,1,Assigned,2025-06-25 14:19:16.863742
