Event_ID,Assignment_ID,Dispatch_Date,Vehicle_ID,Delivery_Status,Is_Damaged,Delay_Reason,Event_Type,Event_Date
DSP-00000,ZONE-3::RACK-1::795::GJ22X4240,2025-07-04 00:00:00,GJ22X4240,In Transit,0,,In Transit,2025-07-04
DSP-00001,ZONE-2::RACK-1::384::GJ08X1309,2025-07-05 00:00:00,GJ08X1309,In Transit,0,,In Transit,2025-07-05
DSP-00002,ZONE-3::RACK-1::434::GJ09X6178,2025-07-04 00:00:00,GJ09X6178,Failed,0,,Failed,2025-07-04
DSP-00003,ZONE-1::RACK-1::789::GJ30X1043,2025-07-07 00:00:00,GJ30X1043,Delivered,0,,Delivered,2025-07-07
DSP-00004,ZONE-3::RACK-1::285::GJ24X1586,2025-07-05 00:00:00,GJ24X1586,Failed,1,,Failed,2025-07-05
DSP-00005,ZONE-3::RACK-1::854::GJ19X2606,2025-07-03 00:00:00,GJ19X2606,Delivered,0,,Delivered,2025-07-03
DSP-00006,ZONE-3::RACK-1::854::GJ19X2606,2025-07-05 00:00:00,GJ19X2606,Failed,0,,Failed,2025-07-05
DSP-00007,ZONE-3::RACK-2::285::GJ24X1586,2025-07-09 00:00:00,GJ24X1586,Failed,0,,Failed,2025-07-09
DSP-00008,ZONE-1::RACK-1::789::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-04
DSP-00009,ZONE-3::RACK-2::185::GJ30X1043,2025-07-04 00:00:00,GJ30X1043,In Transit,0,,In Transit,2025-07-04
DSP-00010,ZONE-3::RACK-2::434::GJ09X6178,2025-07-06 00:00:00,GJ09X6178,In Transit,0,,In Transit,2025-07-06
DSP-00011,ZONE-3::RACK-2::185::GJ30X1043,2025-07-06 00:00:00,GJ30X1043,Failed,0,,Failed,2025-07-06
DSP-00012,ZONE-3::RACK-2::434::GJ09X6178,2025-07-03 00:00:00,GJ09X6178,Delayed,1,Traffic,Delayed,2025-07-03
DSP-00013,ZONE-3::RACK-3::854::GJ19X2606,2025-07-05 00:00:00,GJ19X2606,In Transit,0,,In Transit,2025-07-05
DSP-00014,ZONE-2::RACK-1::384::GJ08X1309,2025-07-05 00:00:00,GJ08X1309,Failed,0,,Failed,2025-07-05
DSP-00015,ZONE-1::RACK-1::295::GJ18X8961,2025-07-06 00:00:00,GJ18X8961,Delivered,0,,Delivered,2025-07-06
