Event_ID,Product_ID,Zone,Rack_Location,Stored_Quantity,FIFO_Flag,Event_Type,Event_Date
INV-00000,DEW-1000-B31-795,ZONE-4,RACK-1,51,1,Stored,2025-07-03
INV-00001,IMM-1001-B59-384,ZONE-2,RACK-1,50,1,Stored,2025-07-03
INV-00002,SUP-1002-B44-434,ZONE-4,RACK-1,114,1,Stored,2025-07-03
INV-00003,ANT-1003-B28-789,ZONE-1,RACK-1,74,1,Stored,2025-07-03
INV-00004,VIT-1004-B54-285,ZONE-4,RACK-1,199,1,Stored,2025-07-03
INV-00005,TOP-1005-B43-854,ZONE-3,RACK-1,93,1,Stored,2025-07-03
INV-00006,TOP-1006-B41-854,ZONE-3,RACK-1,69,1,Stored,2025-07-03
INV-00007,VIT-1007-B49-285,ZONE-4,RACK-1,152,1,Stored,2025-07-03
INV-00008,ANT-1008-B44-789,ZONE-1,RACK-1,114,1,Stored,2025-07-03
INV-00009,DIG-1009-B17-185,ZONE-4,RACK-1,180,1,Stored,2025-07-03
INV-00010,SUP-1010-B75-434,ZONE-4,RACK-2,63,1,Stored,2025-07-03
INV-00011,DIG-1011-B88-185,ZONE-4,RACK-2,198,1,Stored,2025-07-03
INV-00012,SUP-1012-B41-434,ZONE-4,RACK-2,139,1,Stored,2025-07-03
INV-00013,TOP-1013-B51-854,ZONE-3,RACK-1,155,1,Stored,2025-07-03
INV-00014,IMM-1014-B84-384,ZONE-2,RACK-1,136,1,Stored,2025-07-03
INV-00015,ANT-1015-B51-295,ZONE-1,RACK-1,138,1,Stored,2025-07-03
INV-00016,IMM-1016-B90-384,ZONE-2,RACK-1,144,1,Stored,2025-07-03
INV-00017,ANT-1017-B23-295,ZONE-1,RACK-1,193,1,Stored,2025-07-03
INV-00018,DIG-1018-B25-185,ZONE-4,RACK-2,137,1,Stored,2025-07-03
INV-00019,ANT-1019-B72-789,ZONE-1,RACK-1,85,1,Stored,2025-07-03
INV-00020,IMM-1020-B96-384,ZONE-2,RACK-1,126,1,Stored,2025-07-03
INV-00021,DEW-1021-B76-795,ZONE-4,RACK-2,184,1,Stored,2025-07-03
INV-00022,DIG-1022-B98-185,ZONE-4,RACK-3,60,1,Stored,2025-07-03
INV-00023,SUP-1023-B72-434,ZONE-4,RACK-3,97,1,Stored,2025-07-03
INV-00024,SUP-1024-B89-434,ZONE-4,RACK-3,140,1,Stored,2025-07-03
INV-00025,ANT-1025-B60-295,ZONE-1,RACK-2,91,1,Stored,2025-07-03
INV-00026,SUP-1026-B98-434,ZONE-4,RACK-3,179,1,Stored,2025-07-03
INV-00027,TOP-1027-B25-854,ZONE-3,RACK-1,154,1,Stored,2025-07-03
INV-00028,ANT-1028-B91-295,ZONE-1,RACK-2,62,1,Stored,2025-07-03
INV-00029,DEW-1029-B33-795,ZONE-4,RACK-3,166,1,Stored,2025-07-03
INV-00030,IMM-1030-B15-384,ZONE-2,RACK-1,172,1,Stored,2025-07-03
INV-00031,IMM-1031-B49-384,ZONE-2,RACK-2,168,1,Stored,2025-07-03
INV-00032,ANT-1032-B55-295,ZONE-1,RACK-2,106,1,Stored,2025-07-03
INV-00033,DEW-1033-B84-795,ZONE-4,RACK-4,136,1,Stored,2025-07-03
INV-00034,VIT-1034-B86-285,ZONE-4,RACK-4,64,1,Stored,2025-07-03
INV-00035,IMM-1035-B77-384,ZONE-2,RACK-2,179,1,Stored,2025-07-03
INV-00036,SUP-1036-B28-434,ZONE-4,RACK-4,182,1,Stored,2025-07-03
INV-00037,VIT-1037-B38-285,ZONE-4,RACK-4,74,1,Stored,2025-07-03
INV-00038,DIG-1038-B72-185,ZONE-4,RACK-4,81,1,Stored,2025-07-03
INV-00039,DEW-1039-B55-795,ZONE-4,RACK-5,170,1,Stored,2025-07-03
INV-00040,SUP-1040-B15-434,ZONE-4,RACK-5,183,1,Stored,2025-07-03
INV-00041,SUP-1041-B44-434,ZONE-4,RACK-5,145,1,Stored,2025-07-03
INV-00042,ANT-1042-B56-789,ZONE-1,RACK-2,135,1,Stored,2025-07-03
INV-00043,SUP-1043-B51-434,ZONE-4,RACK-5,129,1,Stored,2025-07-03
INV-00044,DEW-1044-B35-795,ZONE-4,RACK-5,110,1,Stored,2025-07-03
INV-00045,ANT-1045-B50-789,ZONE-1,RACK-2,75,1,Stored,2025-07-03
INV-00046,VIT-1046-B34-285,ZONE-4,RACK-6,168,1,Stored,2025-07-03
INV-00047,VIT-1047-B24-285,ZONE-4,RACK-6,152,1,Stored,2025-07-03
INV-00048,ANT-1048-B11-295,ZONE-1,RACK-3,194,1,Stored,2025-07-03
INV-00049,ANT-1049-B33-295,ZONE-1,RACK-3,67,1,Stored,2025-07-03
INV-00050,DIG-1050-B81-185,ZONE-4,RACK-6,55,1,Stored,2025-07-03
INV-00051,SUP-1051-B85-434,ZONE-4,RACK-6,184,1,Stored,2025-07-03
INV-00052,DEW-1052-B75-795,ZONE-4,RACK-6,192,1,Stored,2025-07-03
INV-00053,DIG-1053-B54-185,ZONE-4,RACK-7,131,1,Stored,2025-07-03
