Event_ID,Transport_ID,Vehicle_Type,Route_Type,Status,Estimated_Transit_Days,Event_Type,Event_Date
TRN-00000,ZONE-4::RACK-1::795::GJ22X5898::General,General,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00001,ZONE-2::RACK-1::384::GJ18X6865::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00002,ZONE-4::RACK-1::434::GJ03X4067::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00003,ZONE-1::RACK-1::789::GJ29X3199::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00004,ZONE-4::RACK-1::285::GJ12X1758::General,General,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00005,ZONE-3::RACK-1::854::GJ27X4732::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00006,ZONE-3::RACK-1::854::GJ27X1769::Specialised,Specialised,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00007,ZONE-4::RACK-1::285::GJ24X6532::General,General,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00008,ZONE-1::RACK-1::789::GJ05X2776::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00009,ZONE-4::RACK-1::185::GJ21X4763::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00010,ZONE-4::RACK-2::434::GJ24X6892::General,General,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00011,ZONE-4::RACK-2::185::GJ10X5398::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00012,ZONE-4::RACK-2::434::GJ19X5382::General,General,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00013,ZONE-3::RACK-1::854::GJ18X9809::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00014,ZONE-2::RACK-1::384::GJ06X1200::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00015,ZONE-1::RACK-1::295::GJ13X1303::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00016,ZONE-2::RACK-1::384::GJ28X6836::Specialised,Specialised,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00017,ZONE-1::RACK-1::295::GJ10X5068::Specialised,Specialised,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00018,ZONE-4::RACK-2::185::GJ10X2304::General,General,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00019,ZONE-1::RACK-1::789::GJ14X5845::Specialised,Specialised,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00020,ZONE-2::RACK-1::384::GJ17X3593::Specialised,Specialised,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00021,ZONE-4::RACK-2::795::GJ15X5149::General,General,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00022,ZONE-4::RACK-3::185::GJ08X8689::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00023,ZONE-4::RACK-3::434::GJ17X5492::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00024,ZONE-4::RACK-3::434::GJ09X8395::General,General,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00025,ZONE-1::RACK-2::295::GJ11X9180::Specialised,Specialised,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00026,ZONE-4::RACK-3::434::GJ16X6108::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00027,ZONE-3::RACK-1::854::GJ15X2279::Specialised,Specialised,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00028,ZONE-1::RACK-2::295::GJ30X3926::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00029,ZONE-4::RACK-3::795::GJ27X6555::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00030,ZONE-2::RACK-1::384::GJ08X1229::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00031,ZONE-2::RACK-2::384::GJ24X1949::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00032,ZONE-1::RACK-2::295::GJ28X7060::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00033,ZONE-4::RACK-4::795::GJ25X5218::General,General,InterState,Scheduled,14,Transport Scheduled,2025-07-03
TRN-00034,ZONE-4::RACK-4::285::GJ15X1880::General,General,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00035,ZONE-2::RACK-2::384::GJ04X2060::Specialised,Specialised,Intercity,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00036,ZONE-4::RACK-4::434::GJ11X5333::General,General,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00037,ZONE-4::RACK-4::285::GJ30X2401::General,General,InterState,Scheduled,13,Transport Scheduled,2025-07-03
TRN-00038,ZONE-4::RACK-4::185::GJ12X6087::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00039,ZONE-4::RACK-5::795::GJ11X5102::General,General,InterState,Scheduled,9,Transport Scheduled,2025-07-03
TRN-00040,ZONE-4::RACK-5::434::GJ14X3727::General,General,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00041,ZONE-4::RACK-5::434::GJ04X5804::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00042,ZONE-1::RACK-2::789::GJ28X7704::Specialised,Specialised,InterState,Scheduled,9,Transport Scheduled,2025-07-03
TRN-00043,ZONE-4::RACK-5::434::GJ14X3279::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00044,ZONE-4::RACK-5::795::GJ06X8468::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00045,ZONE-1::RACK-2::789::GJ23X1668::Specialised,Specialised,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00046,ZONE-4::RACK-6::285::GJ30X9209::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00047,ZONE-4::RACK-6::285::GJ15X3297::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00048,ZONE-1::RACK-3::295::GJ26X5488::Specialised,Specialised,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00049,ZONE-1::RACK-3::295::GJ17X1851::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00050,ZONE-4::RACK-6::185::GJ18X7432::General,General,InterState,Scheduled,10,Transport Scheduled,2025-07-03
TRN-00051,ZONE-4::RACK-6::434::GJ15X2791::General,General,InterState,Scheduled,8,Transport Scheduled,2025-07-03
TRN-00052,ZONE-4::RACK-6::795::GJ27X3027::General,General,InterState,Scheduled,15,Transport Scheduled,2025-07-03
TRN-00053,ZONE-4::RACK-7::185::GJ22X4867::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00054,ZONE-4::RACK-7::285::GJ10X3428::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00055,ZONE-1::RACK-3::295::GJ06X2813::Specialised,Specialised,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00056,ZONE-4::RACK-7::434::GJ23X1598::General,General,InterState,Scheduled,7,Transport Scheduled,2025-07-03
TRN-00057,ZONE-2::RACK-2::384::GJ30X6638::Specialised,Specialised,InterState,Scheduled,9,Transport Scheduled,2025-07-03
TRN-00058,ZONE-3::RACK-1::854::GJ23X2866::Specialised,Specialised,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00059,ZONE-4::RACK-7::434::GJ25X3449::General,General,Intercity,Scheduled,3,Transport Scheduled,2025-07-03
TRN-00060,ZONE-4::RACK-7::285::GJ27X4504::General,General,Intercity,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00061,ZONE-4::RACK-8::795::GJ27X3348::General,General,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00062,ZONE-4::RACK-8::434::GJ24X8239::General,General,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00063,ZONE-4::RACK-8::285::GJ07X6453::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00064,ZONE-4::RACK-8::434::GJ30X8944::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00065,ZONE-4::RACK-8::185::GJ06X5907::General,General,Intercity,Scheduled,2,Transport Scheduled,2025-07-03
TRN-00066,ZONE-1::RACK-3::295::GJ25X9157::Specialised,Specialised,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00067,ZONE-4::RACK-9::795::GJ27X9811::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00068,ZONE-1::RACK-3::789::GJ29X9603::Specialised,Specialised,InterState,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00069,ZONE-1::RACK-4::789::GJ17X4217::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
TRN-00070,ZONE-4::RACK-9::285::GJ01X5402::General,General,InterState,Scheduled,5,Transport Scheduled,2025-07-03
TRN-00071,ZONE-4::RACK-9::185::GJ09X4010::General,General,Intercity,Scheduled,4,Transport Scheduled,2025-07-03
TRN-00072,ZONE-1::RACK-4::295::GJ04X2061::Specialised,Specialised,Intercity,Scheduled,6,Transport Scheduled,2025-07-03
