Assignment_ID,Product_ID,Urgent_Flag,Dispatch_Window,Delivery_Window,Unit_Weight (kg),Unit_Volume (L),Fragile_Flag,Temp_Sensitive_Flag,Quantity_Assigned,Total_Weight,Total_Volume,Priority_Label,Cluster_Label,Vehicle_ID,Main_Cluster_Label,Handling_Group
ZONE-3::RACK-1::854::GJ27X6555,TOP-1005-B43-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,27,48.6,27.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ15X2258,TOP-1006-B41-854,1,2025-07-03,2025-07-06,1.8,1.0,1,0,20,36.0,20.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ27X9363,TOP-1013-B51-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,18,32.4,18.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ15X6806,TOP-1027-B25-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,16,28.8,16.0,,4,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-1::854::GJ10X4612,TOP-1058-B12-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,6,10.8,6.0,,1,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ14X9412,TOP-1078-B35-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,45,81.0,45.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ07X8970,TOP-1081-B36-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,46,82.8,46.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ30X6638,TOP-1130-B59-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,8,14.4,8.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ14X1705,TOP-1135-B83-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,3,5.4,3.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-2::854::GJ04X2061,TOP-1141-B54-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,21,37.8,21.0,,2,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ09X1112,TOP-1146-B44-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,39,70.2,39.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ16X7539,TOP-1147-B39-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,43,77.4,43.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ15X4384,TOP-1155-B43-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,2,3.6,2.0,,1,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ21X9440,TOP-1175-B69-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,43,77.4,43.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-3::854::GJ13X7840,TOP-1182-B91-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,28,50.4,28.0,,5,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ15X2258,TOP-1184-B46-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,37,66.60000000000001,37.0,,0,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ03X9079,TOP-1199-B87-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,36,64.8,36.0,,0,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ09X3787,TOP-1206-B42-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,22,39.6,22.0,,2,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ23X8925,TOP-1223-B92-854,1,2025-07-04,2025-07-07,1.8,1.0,1,0,44,79.2,44.0,,3,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-4::854::GJ15X2279,TOP-1224-B78-854,1,2025-07-04,2025-07-06,1.8,1.0,1,0,33,59.4,33.0,,5,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ24X1949,TOP-1232-B55-854,1,2025-07-03,2025-07-05,1.8,1.0,1,0,43,77.4,43.0,,3,,Same-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ21X5017,TOP-1244-B42-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,7,12.6,7.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ12X2891,TOP-1281-B92-854,1,2025-07-05,2025-07-08,1.8,1.0,1,0,6,10.8,6.0,,1,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ28X9659,TOP-1286-B58-854,1,2025-07-05,2025-07-07,1.8,1.0,1,0,10,18.0,10.0,,4,,Next-Day Urgent,Fragile Only
ZONE-3::RACK-5::854::GJ26X3703,TOP-1289-B88-854,1,2025-07-03,2025-07-07,1.8,1.0,1,0,10,18.0,10.0,,4,,Next-Day Urgent,Fragile Only
